Text,Text Number,License,Text By,Translation By,Language,File Name,Source,ISO639-3,Script,Parallel ID,Story Category
She finds an advert for a chef. That is someone who cooks in a restaurant.,3,CC BY,Espen Stranger-Johannessen,,en,0001_finding-a-job.md,global-asp/lida-source,eng,Latn,lida_0001,lida
She goes for the job interview. The restaurant manager tells her they need someone who has trained as a chef.,4,CC BY,Espen Stranger-Johannessen,,en,0001_finding-a-job.md,global-asp/lida-source,eng,Latn,lida_0001,lida
"Alisha is disappointed, but she takes a course called ""Food and hospitality"". She hopes this will help her to get a job in a restaurant.",5,CC BY,Espen Stranger-Johannessen,,en,0001_finding-a-job.md,global-asp/lida-source,eng,Latn,lida_0001,lida
"Alisha has to work in a restaurant as part of her training course. She does not get paid, but she gets work experience.",6,CC BY,Espen Stranger-Johannessen,,en,0001_finding-a-job.md,global-asp/lida-source,eng,Latn,lida_0001,lida
She adds the details of the course to her CV. A CV is a description of all the work she has done and all the courses she has taken.,7,CC BY,Espen Stranger-Johannessen,,en,0001_finding-a-job.md,global-asp/lida-source,eng,Latn,lida_0001,lida
"Next time Alisha goes for a job interview at a restaurant, she is offered the job. It is hard work. She often has to work in the evening, when her children are home from school.",8,CC BY,Espen Stranger-Johannessen,,en,0001_finding-a-job.md,global-asp/lida-source,eng,Latn,lida_0001,lida
She is proud that she has got a job so that she can buy food and clothes for her family with her own money.,9,CC BY,Espen Stranger-Johannessen,,en,0001_finding-a-job.md,global-asp/lida-source,eng,Latn,lida_0001,lida
"All summer, I have been going to the Green Shack program at the playground near my house. This morning, my Green Shack leader introduces us to two new leaders from the Flying Eagle program. They are wearing blue shirts, just like my Green Shack leader. They will be leading activities with us for the whole week!",0,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"The new leaders tell us that the Flying Eagle program teaches kids about Aboriginal culture. They say that ""Aboriginal"" means the people who first lived on this land, and they include First Nations, Métis, and Inuit people. My next-door neighbor says that she is Métis, and two brothers tell us that they are Inuit.",1,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"Our leaders teach us about the medicine wheel. They say that each nation has its own colours, but that the Cree people of Treaty 6 -- where Edmonton is -- use blue, white, red, and yellow, and these colours represent the different people of the earth. They ask us about our heritage, and one kid says he is Somalian, and one says she is part Ukrainian and part Irish. A few say they are Chinese. I don't know what I am! We all have lots of fun playing together all day.",2,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"At suppertime, I tell my family about my day at Flying Eagle. I ask my dad what we are. He says, ""Do you mean, what is our heritage?"" I nod. He points to a beaded flower on our wall, and says, ""I am Cree, and your mom is Dene. We are First Nations. Our people are known for our beautiful beadwork. We are proud to be Aboriginal!""",3,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"On Tuesday morning, I bring my little sister with me to the playground. The leaders take us on a bison hunt, but we don't hunt a real bison. We just pretend to. We practice our aim by throwing sticks through a rolling hoop.",4,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"After the bison hunt, we make some mini drums. Our leaders tell us that the drum is the heartbeat of the people. When I am finished making my drum, I help my sister with hers.",5,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"Later on, we make some totem poles. We pick animals that make us think of our family members, and we draw pictures of them on a paper towel roll. I draw a puppy for my little sister, because she is so cuddly, and a spider for myself, because I am good at making things. I draw a bear to be my mom, because she takes good care of us, and a fish for my dad, because he loves fishing. My sister mostly draws scribbles, but she tells me she is drawing a fish and a cat.",6,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"My sister and I are excited to show our totem poles to our family when we get home. My dad is proud of us and puts them on the counter. He shows us a picture of him and a real totem pole from when he traveled to B.C. He tells us that Cree and Dene people do not build totem poles, but Aboriginal people near the ocean in B.C. do. He says that animals, like the ones in the totem poles, teach us many important things.",7,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"On Wednesday morning, we make dreamcatchers. Our leader tells us that the Anishinaabe were the first Aboriginal people to make dreamcatchers. They catch bad dreams in the web, and the good dreams float down the feathers to us. While we work on our crafts, our leaders tell us about the seven sacred teachings of the Anishinaabe: humility, honesty, respect, courage, wisdom, truth, and love. I decide to give my dreamcatcher to my grandma so I can show her how much I love her.",8,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"After lunch, one of the leaders says we are going to ""smudge."" Smudging is one of the ways that Aboriginal people connect with the Creator. Our leader sets out a little metal pan and puts a braid of long grass that she calls ""sweetgrass"" inside. She lights the sweetgrass and it starts to smoke. The smoke smells sweet. I ask the Creator for good thoughts, good words, and good feelings as I wave the smoke over myself. Our leader says that each person can ask for the same things in their own way.",9,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"After smudging, we get to have a fire! Our leaders show us how to make bannock. We roll the dough into a ball and put it on the end of a stick, and roast it over the fire like a marshmallow. It's delicious! It tastes like soft, warm bread. I put honey all over mine, which gets a bit messy, so I have to lick it all up.",10,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"When we come home, my dad takes a deep breath in as he hugs me and asks if I was smudging today. How did he know!? He tells me he can smell the sweetgrass on my clothes. I fall asleep to the smell of sweetgrass smoke that is still on me.",11,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"On Thursday, we play some neat games from the Arctic. Our leaders tell us that the Inuit people made up these games a long time ago, and they still play them. Everyone's favourite game is ""butt bump,"" where we try to bump each other off balance using our butts. We all laugh a lot together!",12,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"After the hand games, we make Métis sash crafts by braiding colourful pieces of yarn together. Each of the colours means something important to the Métis people, like green, which stands for growth and success. Weaving all the colours together shows how the Aboriginal and European cultures of the Métis people are woven together. Afterwards, the leaders let us try on real Métis sashes. The boys wear their sashes around their waists, and the girls wear them over one shoulder.",13,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"In the afternoon, we play lacrosse. It is kind of like hockey, except that we have to throw a little ball using a stick, and we run around instead of skate. I am a very fast runner! …but using the stick is tricky. I score a goal on one of the leaders, though! She tells us that Aboriginal people invented lacrosse. Cool! My friend can't run as fast as me, but he's good at catching the ball.",14,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"My dad picks me up early from Flying Eagle to go to Aboriginal Family Night. I tell my friends there about all the games we play and the crafts we make at Flying Eagle. One of my friends says that Flying Eagle will be at the playground near his house next week, and his mom says I can go with him if I want. I can't wait!",15,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"On Friday morning, I head to the playground for the last day of Flying Eagle at my playground. We are playing a hide-and-seek game called Eagle Eyes -- my favourite game! -- on the playground when it starts to rain. Our leaders tell us that the rain is a blessing, and we should be happy about it. I'm happy -- I love to play in the puddles!",16,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"After lunchtime, one of our leaders teaches us some words in Cree. Tân'si means hello, and amiskwaciwâskahikan is the Cree name for Edmonton. That one is hard to say! Some of the other kids in the group teach us how to say some words in their own languages. This is fun!",17,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"Just before we go home, we have a talking circle, where everybody gets to say what they thought about the week. Sometimes I talk slowly, but I like that nobody rushes me when I am holding the feather in the talking circle. I give my leaders a hug at the end.",18,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
"When I go home, my grandpa and grandma are there. They are visiting us for the weekend. I tell them all about my week at Flying Eagle. My grandma gives me a hug when I give her my dreamcatcher and says, ""I'm glad you have a chance to learn about Aboriginal culture while you're having fun in a safe space. That's something all kids deserve."" She's right -- I'm going to tell all my friends about Flying Eagle!",19,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0001_flying-eagle_en.md,global-asp/lcb-source,eng,Latn,lcb_0001,lcb
A fawn was racing in the forest.,0,CC-BY,Sanjiv Jaiswal 'Sanjay',Manisha Chaudhry,en,0001_smile-please.md,global-asp/pb-source,eng,Latn,pb_0001,pb
He was ahead of the rabbit.,1,CC-BY,Sanjiv Jaiswal 'Sanjay',Manisha Chaudhry,en,0001_smile-please.md,global-asp/pb-source,eng,Latn,pb_0001,pb
He was ahead of the elephant.,2,CC-BY,Sanjiv Jaiswal 'Sanjay',Manisha Chaudhry,en,0001_smile-please.md,global-asp/pb-source,eng,Latn,pb_0001,pb
He leapt and cleared the stream.,3,CC-BY,Sanjiv Jaiswal 'Sanjay',Manisha Chaudhry,en,0001_smile-please.md,global-asp/pb-source,eng,Latn,pb_0001,pb
He ran past the crumbling wall.,4,CC-BY,Sanjiv Jaiswal 'Sanjay',Manisha Chaudhry,en,0001_smile-please.md,global-asp/pb-source,eng,Latn,pb_0001,pb
There was a large boulder on the grassy plain. He stumbled and fell down.,5,CC-BY,Sanjiv Jaiswal 'Sanjay',Manisha Chaudhry,en,0001_smile-please.md,global-asp/pb-source,eng,Latn,pb_0001,pb
He burst into tears.,6,CC-BY,Sanjiv Jaiswal 'Sanjay',Manisha Chaudhry,en,0001_smile-please.md,global-asp/pb-source,eng,Latn,pb_0001,pb
The monkey massaged his leg. Tears flowed from the fawn's eyes.,7,CC-BY,Sanjiv Jaiswal 'Sanjay',Manisha Chaudhry,en,0001_smile-please.md,global-asp/pb-source,eng,Latn,pb_0001,pb
Brother Bear picked him up. The fawn didn't stop crying.,8,CC-BY,Sanjiv Jaiswal 'Sanjay',Manisha Chaudhry,en,0001_smile-please.md,global-asp/pb-source,eng,Latn,pb_0001,pb
"His mother came. She said, “Look, we'll beat up this bad boulder!”",9,CC-BY,Sanjiv Jaiswal 'Sanjay',Manisha Chaudhry,en,0001_smile-please.md,global-asp/pb-source,eng,Latn,pb_0001,pb
"The fawn said, “Oh, don't do that or he will also start crying.” His mother laughed. So did the fawn.",10,CC-BY,Sanjiv Jaiswal 'Sanjay',Manisha Chaudhry,en,0001_smile-please.md,global-asp/pb-source,eng,Latn,pb_0001,pb
This is a fat king.,0,CC-BY,Parismita,,en,0002_fat-king-thin-dog.md,global-asp/pb-source,eng,Latn,pb_0002,pb
"The fat king has a thin dog.

The fat king and his thin dog go for a walk.",1,CC-BY,Parismita,,en,0002_fat-king-thin-dog.md,global-asp/pb-source,eng,Latn,pb_0002,pb
"The dog sees a bird.

The dog runs after the bird.",2,CC-BY,Parismita,,en,0002_fat-king-thin-dog.md,global-asp/pb-source,eng,Latn,pb_0002,pb
The king runs after the dog.,3,CC-BY,Parismita,,en,0002_fat-king-thin-dog.md,global-asp/pb-source,eng,Latn,pb_0002,pb
"They run and run.

They run and run for many days.",4,CC-BY,Parismita,,en,0002_fat-king-thin-dog.md,global-asp/pb-source,eng,Latn,pb_0002,pb
The king catches the dog.,5,CC-BY,Parismita,,en,0002_fat-king-thin-dog.md,global-asp/pb-source,eng,Latn,pb_0002,pb
Now the fat king is thin.,6,CC-BY,Parismita,,en,0002_fat-king-thin-dog.md,global-asp/pb-source,eng,Latn,pb_0002,pb
"""I am scared.""",0,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0002_feelings.md,global-asp/lida-source,eng,Latn,lida_0002,lida
"""Ouch!""",1,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0002_feelings.md,global-asp/lida-source,eng,Latn,lida_0002,lida
"""Are you okay?""",2,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0002_feelings.md,global-asp/lida-source,eng,Latn,lida_0002,lida
"""My stomach hurts.""",3,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0002_feelings.md,global-asp/lida-source,eng,Latn,lida_0002,lida
"""I have a headache.""",4,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0002_feelings.md,global-asp/lida-source,eng,Latn,lida_0002,lida
"""I'm hungry.""",5,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0002_feelings.md,global-asp/lida-source,eng,Latn,lida_0002,lida
"""I'm tired.""",6,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0002_feelings.md,global-asp/lida-source,eng,Latn,lida_0002,lida
"""I'm sleepy.""",7,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0002_feelings.md,global-asp/lida-source,eng,Latn,lida_0002,lida
"""I'm thirsty.""",8,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0002_feelings.md,global-asp/lida-source,eng,Latn,lida_0002,lida
"""That's a shame.""",9,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0002_feelings.md,global-asp/lida-source,eng,Latn,lida_0002,lida
Little Bear wakes up.,0,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear gives thanks.,1,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear puts on his clothes.,2,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear washes his face.,3,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear eats breakfast.,4,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear rides the bus.,5,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear learns.,6,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear eats lunch.,7,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear plays.,8,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear exercises.,9,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear goes home.,10,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear eats supper.,11,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear brushes his teeth.,12,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear puts on his pyjamas.,13,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Little Bear goes to sleep.,14,CC BY-NC-SA,Caylie Gnyra,Caylie Gnyra,en,0002_little-bears-day_en.md,global-asp/lcb-source,eng,Latn,lcb_0002,lcb
Look at the animals.,0,CC-BY-NC,Jenny Katz,,en,0002_look-at-the-animals.md,global-asp/asp-source,eng,Latn,asp_0002,asp
"The cow says, ""Moo.""",1,CC-BY-NC,Jenny Katz,,en,0002_look-at-the-animals.md,global-asp/asp-source,eng,Latn,asp_0002,asp
"The goat says, ""Meh,
meh.""",2,CC-BY-NC,Jenny Katz,,en,0002_look-at-the-animals.md,global-asp/asp-source,eng,Latn,asp_0002,asp
"The horse says,
""Neigh.""",3,CC-BY-NC,Jenny Katz,,en,0002_look-at-the-animals.md,global-asp/asp-source,eng,Latn,asp_0002,asp
"The pig says, ""Grunt.""",4,CC-BY-NC,Jenny Katz,,en,0002_look-at-the-animals.md,global-asp/asp-source,eng,Latn,asp_0002,asp
"The chicken says,
""Cluck.""",5,CC-BY-NC,Jenny Katz,,en,0002_look-at-the-animals.md,global-asp/asp-source,eng,Latn,asp_0002,asp
"The dog says, ""Woof.""",6,CC-BY-NC,Jenny Katz,,en,0002_look-at-the-animals.md,global-asp/asp-source,eng,Latn,asp_0002,asp
"The farmer says,
""Shhh!""",7,CC-BY-NC,Jenny Katz,,en,0002_look-at-the-animals.md,global-asp/asp-source,eng,Latn,asp_0002,asp
"""I would like that one, please.""",0,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0003_asking-and-answering.md,global-asp/lida-source,eng,Latn,lida_0003,lida
"""Do you have...?""",1,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0003_asking-and-answering.md,global-asp/lida-source,eng,Latn,lida_0003,lida
"""Is it okay if I sit here?""",2,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0003_asking-and-answering.md,global-asp/lida-source,eng,Latn,lida_0003,lida
"""That will be fine.""",3,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0003_asking-and-answering.md,global-asp/lida-source,eng,Latn,lida_0003,lida
"""Would you like some of this?""",4,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0003_asking-and-answering.md,global-asp/lida-source,eng,Latn,lida_0003,lida
"""Yes, please!""",5,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0003_asking-and-answering.md,global-asp/lida-source,eng,Latn,lida_0003,lida
"""Could I see that one, please?""",6,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0003_asking-and-answering.md,global-asp/lida-source,eng,Latn,lida_0003,lida
"""Here you are.""",7,CC BY-NC-SA,Espen Stranger-Johannessen,,en,0003_asking-and-answering.md,global-asp/lida-source,eng,Latn,lida_0003,lida
"My mom just told me we are moving to Edmonton.

She is talking on the phone to a lady from an organization called New in Town in the city.

The lady is helping her figure out what we should do.",0,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"I go to see my grandma.

I feel sad. I don't want to leave.

She tells me that she loves me, and that I will get to see and do all kinds of neat things in the city.",1,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"I put my clothes and my favourite toys in my backpack. I say goodbye to my house.

We get on a big bus. My tummy feels yucky, so I have a nap on my moms lap. She wakes me up when we get close to Edmonton so I can see the city lights.

My mom says a lady from New in Town will pick us up from the bus station.",2,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"We go to live with my auntie. I share a room with my cousin.

I like sleeping in a bunk bed!

But sometimes I can't sleep because he snores, and the cars outside are so loud at night.",3,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"I have to go with my mom so she can fill out some forms.

The New in Town lady helps us take a big blue bus.

There are so many people that we have to stand on the bus while it's moving!",4,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"My auntie takes me and my mom to Family Night at a school near her house.

The New in Town lady is there. She introduces me to some kids who will be in my class.

We have fun learning some cool hoop-dancing moves.",5,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"I feel nervous about my first day of school.

I ride a school bus just like my old bus.

I see my friends from Family Night and we play together at recess.

There are so many kids in my class!",6,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"I join the soccer team at my school. We play every Friday at lunch.

One of my teammates invites me to his birthday party.

We go swimming at West Edmonton Mall. I love the waterslides!",7,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"My auntie takes me and my cousin trick-or-treating.

There are so many houses, and they are so close together.

We don't have to walk very far to get a whole bagful of candy!",8,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"My mom gets a new job so I have to go to afterschool care.

I meet some new kids from other grades.

My favourite activity is when we all sing and play music together. I like to play my drum.",9,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"We are moving into a new house!

We don't have very much furniture, but now I have my own bed.

I miss sleeping in my cousin's bunk bed, but I can sleep better now without his snoring.",10,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"I have a new babysitter.

She takes me tobogganing, and afterwards we go inside the Muttart Conservatory to warm up.

We see lots of neat plants from all over the world. I love smelling the flowers and feeling so warm in the pyramids even though it is winter.",11,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"On New Years, my family takes the train to downtown.

All of the buildings are sooo tall.

We see the New in Town lady again. She counts down the seconds with us, and gives me a big hug at midnight.",12,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"My mom says I can pick one friend to come to my birthday party. I pick my new best friend.

We go have Indian tacos at Bannock Burger.

He had never had an Indian taco before, but he loves it!",13,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"I had a bad day at school today.

I forgot my lunch and my mom was at work so she couldn't bring it to me. PLUS some kids in my class teased me for being different.

I don't like it here. I want to move back home.",14,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"My mom takes me and my cousin to a round dance that Bent Arrow is putting on.

I see lots of people I know.

I have lots of fun dancing with my friends.",15,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"Today has been another bad day at school.

I miss my bus home, and at first I feel scared. I wonder if I will have to sleep at my school all alone. The secretary calls my mom and she comes to pick me up.

While I wait, my science teacher shows me a cool experiment! He tells me it's okay to be different, and I feel a lot better than my last bad day.",16,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"It's the last day of school before summer holidays.

Our class has a hot dog roast and plays games in a park.

I'm not too sad, because I know I'll see my friends at camps and swimming lessons during the summer.",17,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
"My grandma calls me.

She asks me if I like living in Edmonton.

I miss seeing her every day, but I like that there are so many things for me to see and do here.

I ask her to come visit us soon so I can show her around and introduce her to all my friends.",18,CC BY-NC-SA,Caylie Gnyra,"Dorothy Thunder, Susan Sinclair",en,0003_new-in-town_en.md,global-asp/lcb-source,eng,Latn,lcb_0003,lcb
